"Unicode.Code.Point.s.","Emoji","Description","Translated"
"U+1F4DF","📟","Pager","Çağrı cihazı"
"U+1F4E0","📠","Fax Machine","Faks makinesi"
"U+1F50B","🔋","Battery","Pil"
"U+1FAAB","🪫","Low Battery","Düşük pil"
"U+1F50C","🔌","Electric Plug","Elektrik prizi"
"U+1F4BB","💻","Laptop","Dizüstü bilgisayar"
"U+1F5A5 U+FE0F","🖥️","Desktop Computer","Masaüstü bilgisayar"
"U+1F5A8 U+FE0F","🖨️","Printer","Yazıcı"
"U+2328 U+FE0F","⌨️","Keyboard","Tuş takımı"
"U+1F5B1 U+FE0F","🖱️","Computer Mouse","Bilgisayar faresi"
"U+1F5B2 U+FE0F","🖲️","Trackball","İztopu"
"U+1F4BD","💽","Computer Disk","Bilgisayar Diski"
"U+1F4BE","💾","Floppy Disk","Disket"
"U+1F4BF","💿","Optical Disk","Optik disk"
"U+1F4C0","📀","Dvd","DVD"
"U+1F9EE","🧮","Abacus","Abaküs"
"U+1F3A5","🎥","Movie Camera","Film kamerası"
"U+1F39E U+FE0F","🎞️","Film Frames","Film Çerçeveleri"
"U+1F4FD U+FE0F","📽️","Film Projector","Film Projektörü"
"U+1F3AC","🎬","Clapper Board","Klaket Tahtası"
"U+1F4FA","📺","Television","Televizyon"
"U+1F4F7","📷","Camera","Kamera"
"U+1F4F8","📸","Camera With Flash","Flaşlı Kamera"
"U+1F4F9","📹","Video Camera","Video kamera"
"U+1F4FC","📼","Videocassette","Video kasetler"
"U+1F50D","🔍","Magnifying Glass Tilted Left","Büyüteç Sola Eğimli"
"U+1F50E","🔎","Magnifying Glass Tilted Right","Büyüteç Sağa Eğik"
"U+1F56F U+FE0F","🕯️","Candle","Mum"
"U+1F4A1","💡","Light Bulb","Ampul"
"U+1F526","🔦","Flashlight","El feneri"
"U+1F3EE","🏮","Red Paper Lantern","Kırmızı Kağıt Fener"
"U+1FA94","🪔","Diya Lamp","Dia Lambası"
"U+1F4D4","📔","Notebook With Decorative Cover","Dekoratif Kapaklı Defter"
"U+1F4D5","📕","Closed Book","Kapalı Kitap"
"U+1F4D6","📖","Open Book","Açık kitap"
"U+1F4D7","📗","Green Book","Yeşil Kitap"
"U+1F4D8","📘","Blue Book","Mavi Kitap"
"U+1F4D9","📙","Orange Book","Turuncu Kitap"
"U+1F4DA","📚","Books","Kitabın"
"U+1F4D3","📓","Notebook","Not defteri"
"U+1F4D2","📒","Ledger","Defter"
"U+1F4C3","📃","Page With Curl","Kıvrık Sayfa"
"U+1F4DC","📜","Scroll","Taslak"
"U+1F4C4","📄","Page Facing Up","Sayfa Yukarıya Bakıyor"
"U+1F4F0","📰","Newspaper","Gazete"
"U+1F5DE U+FE0F","🗞️","Rolled-Up Newspaper","Rulo Gazete"
"U+1F4D1","📑","Bookmark Tabs","Yer İşareti Sekmeleri"
"U+1F516","🔖","Bookmark","Yer imi"
"U+1F3F7 U+FE0F","🏷️","Label","Etiket"
"U+1F4B0","💰","Money Bag","Para çantası"
"U+1FA99","🪙","Coin","Madeni para"
"U+1F4B4","💴","Yen Banknote","Yen Banknot"
"U+1F4B5","💵","Dollar Banknote","Dolar Banknot"
"U+1F4B6","💶","Euro Banknote","Euro Banknot"
"U+1F4B7","💷","Pound Banknote","Lirası Banknot"
"U+1F4B8","💸","Money With Wings","Kanatlı Para"
"U+1F4B3","💳","Credit Card","Kredi kartı"
"U+1F9FE","🧾","Receipt","Fiş"
"U+1F4B9","💹","Chart Increasing With Yen","Yenle Artan Grafik"
"U+2709 U+FE0F","✉️","Envelope","Mektup"
"U+1F4E7","📧","E-Mail","E-posta"
"U+1F4E8","📨","Incoming Envelope","Gelen Zarf"
"U+1F4E9","📩","Envelope With Arrow","Oklu Zarf"
"U+1F4E4","📤","Outbox Tray","Giden Kutusu Tepsisi"
"U+1F4E5","📥","Inbox Tray","Gelen Kutusu Tepsisi"
"U+1F4E6","📦","Package","Paket"
"U+1F4EB","📫","Closed Mailbox With Raised Flag","Bayrak Yükseltilmiş Kapalı Posta Kutusu"
"U+1F4EA","📪","Closed Mailbox With Lowered Flag","Bayrağı İndirilmiş Kapalı Posta Kutusu"
"U+1F4EC","📬","Open Mailbox With Raised Flag","Posta Kutusunu Yükseltilmiş Bayrakla Açma"
"U+1F4ED","📭","Open Mailbox With Lowered Flag","Posta Kutusunu İndirilmiş Bayrakla Açma"
"U+1F4EE","📮","Postbox","Posta kutusu"
"U+1F5F3 U+FE0F","🗳️","Ballot Box With Ballot","Oy Sandığı"
"U+270F U+FE0F","✏️","Pencil","Kalem"
"U+2712 U+FE0F","✒️","Black Nib","Siyah Uç"
"U+1F58B U+FE0F","🖋️","Fountain Pen","Dolma kalem"
"U+1F58A U+FE0F","🖊️","Pen","Dolma kalem"
"U+1F58C U+FE0F","🖌️","Paintbrush","Boya fırçası"
"U+1F58D U+FE0F","🖍️","Crayon","Pastel boya"
"U+1F4DD","📝","Memo","Hafıza"
"U+1F4BC","💼","Briefcase","İş çantası"
"U+1F4C1","📁","File Folder","Dosya klasörü"
"U+1F4C2","📂","Open File Folder","Dosya Klasörünü Aç"
"U+1F5C2 U+FE0F","🗂️","Card Index Dividers","Kart Dizini Bölücüler"
"U+1F4C5","📅","Calendar","Takvim"
"U+1F4C6","📆","Tear-Off Calendar","Yırtılabilir Takvim"
"U+1F5D2 U+FE0F","🗒️","Spiral Notepad","Spiral Not Defteri"
"U+1F5D3 U+FE0F","🗓️","Spiral Calendar","Sarmal Takvim"
"U+1F4C7","📇","Card Index","Kartvizit indeksi"
"U+1F4C8","📈","Chart Increasing","Grafik Artıyor"
"U+1F4C9","📉","Chart Decreasing","Grafik Azalan"
"U+1F4CA","📊","Bar Chart","Grafik çubuğu"
"U+1F4CB","📋","Clipboard","Pano"
"U+1F4CC","📌","Pushpin","Raptiye"
"U+1F4CD","📍","Round Pushpin","Yuvarlak Raptiye"
"U+1F4CE","📎","Paperclip","Ataç"
"U+1F587 U+FE0F","🖇️","Linked Paperclips","Bağlantılı Ataşlar"
"U+1F4CF","📏","Straight Ruler","Düz Cetvel"
"U+1F4D0","📐","Triangular Ruler","Üçgen Cetvel"
"U+2702 U+FE0F","✂️","Scissors","Makas"
"U+1F5C3 U+FE0F","🗃️","Card File Box","Kart Dosya Kutusu"
"U+1F5C4 U+FE0F","🗄️","File Cabinet","Dosya dolabı"
"U+1F5D1 U+FE0F","🗑️","Wastebasket","Çöp sepeti"
"U+1F512","🔒","Locked","Kilitli"
"U+1F513","🔓","Unlocked","Kilitli değil"
"U+1F50F","🔏","Locked With Pen","Kalemle Kilitli"
"U+1F510","🔐","Locked With Key","Anahtarla Kilitli"
"U+1F511","🔑","Key","Anahtar"
"U+1F5DD U+FE0F","🗝️","Old Key","Eski anahtar"
"U+1F528","🔨","Hammer","Çekiç"
"U+1FA93","🪓","Axe","Balta"
"U+26CF U+FE0F","⛏️","Pick","Seçmek"
"U+2692 U+FE0F","⚒️","Hammer And Pick","Çekiç ve Çekme"
"U+1F6E0 U+FE0F","🛠️","Hammer And Wrench","Çekiç ve İngiliz Anahtarı"
"U+1F5E1 U+FE0F","🗡️","Dagger","Hançer"
"U+2694 U+FE0F","⚔️","Crossed Swords","Çapraz Kılıçlar"
"U+1F4A3","💣","Bomb","Bomba"
"U+1FA83","🪃","Boomerang","Bumerang"
"U+1F3F9","🏹","Bow And Arrow","Yay ve ok"
"U+1F6E1 U+FE0F","🛡️","Shield","Kalkan"
"U+1FA9A","🪚","Carpentry Saw","Marangozluk Testere"
"U+1F527","🔧","Wrench","İngiliz anahtarı"
"U+1FA9B","🪛","Screwdriver","Tornavida"
"U+1F529","🔩","Nut And Bolt","Somun ve Cıvata"
"U+2699 U+FE0F","⚙️","Gear","Vites"
"U+1F5DC U+FE0F","🗜️","Clamp","Kelepçe"
"U+2696 U+FE0F","⚖️","Balance Scale","Denge Ölçeği"
"U+1F9AF","🦯","White Cane","Beyaz Baston"
"U+1F517","🔗","Link","Bağlantı"
"U+26D3 U+FE0F","⛓️","Chains","Zincirler"
"U+1FA9D","🪝","Hook","Kanca"
"U+1F9F0","🧰","Toolbox","Araç Kutusu"
"U+1F9F2","🧲","Magnet","Mıknatıs"
"U+1FA9C","🪜","Ladder","Merdiven"
"U+2697 U+FE0F","⚗️","Alembic","İmbik"
"U+1F9EA","🧪","Test Tube","Test tüpü"
"U+1F9EB","🧫","Petri Dish","Petri kabı"
"U+1F9EC","🧬","DNA","DNA"
"U+1F52C","🔬","Microscope","Mikroskop"
"U+1F52D","🔭","Telescope","Teleskop"
"U+1F4E1","📡","Satellite Antenna","Uydu Anteni"
"U+1F489","💉","Syringe","Şırınga"
"U+1FA78","🩸","Drop Of Blood","Kan damlası"
"U+1F48A","💊","Pill","Hap"
"U+1FA79","🩹","Adhesive Bandage","Yapışkanlı Bandaj"
"U+1FA7C","🩼","Crutch","Koltuk değneği"
"U+1FA7A","🩺","Stethoscope","Stetoskop"
"U+1FA7B","🩻","X-Ray","Röntgen"
"U+1F6AA","🚪","Door","Kapı"
"U+1F6D7","🛗","Elevator","Asansör"
"U+1FA9E","🪞","Mirror","Ayna"
"U+1FA9F","🪟","Window","Pencere"
"U+1F6CF U+FE0F","🛏️","Bed","Yatak"
"U+1F6CB U+FE0F","🛋️","Couch And Lamp","Kanepe ve Lamba"
"U+1FA91","🪑","Chair","Sandalye"
"U+1F6BD","🚽","Toilet","Tuvalet"
"U+1FAA0","🪠","Plunger","Piston"
"U+1F6BF","🚿","Shower","Duş"
"U+1F6C1","🛁","Bathtub","Küvet"
"U+1FAA4","🪤","Mouse Trap","Fare Kapanı"
"U+1FA92","🪒","Razor","Ustura"
"U+1F9F4","🧴","Lotion Bottle","Losyon Şişesi"
"U+1F9F7","🧷","Safety Pin","Emniyet Pimi"
"U+1F9F9","🧹","Broom","Süpürge"
"U+1F9FA","🧺","Basket","Sepet"
"U+1F9FB","🧻","Roll Of Paper","Kağıt Rulosu"
"U+1FAA3","🪣","Bucket","Kova"
"U+1F9FC","🧼","Soap","Sabun"
"U+1FAE7","🫧","Bubbles","Kabarcıklar"
"U+1FAA5","🪥","Toothbrush","Diş fırçası"
"U+1F9FD","🧽","Sponge","Sünger"
"U+1F9EF","🧯","Fire Extinguisher","Yangın söndürücü"
"U+1F6D2","🛒","Shopping Cart","Alışveriş Sepeti"
"U+1F6AC","🚬","Cigarette","Sigara"
"U+26B0 U+FE0F","⚰️","Coffin","Tabut"
"U+1FAA6","🪦","Headstone","Mezar taşı"
"U+26B1 U+FE0F","⚱️","Funeral Urn","Ölünün küllerinin saklandığı kap"
"U+1F9FF","🧿","Nazar Amulet","Nazar Muska"
"U+1FAAC","🪬","Hamsa","Hamza"
"U+1F5FF","🗿","Moai","Güzel"
"U+1FAA7","🪧","Placard","Afiş"
"U+1FAAA","🪪","Identification Card","Kimlik Kartı"
"U+1F3E7","🏧","ATM Sign","ATM İşareti"
"U+1F6AE","🚮","Litter In Bin Sign","Çöp Kutusu Tabelasında"
"U+1F6B0","🚰","Potable Water","İçme suyu"
"U+267F","♿","Wheelchair Symbol","Tekerlekli Sandalye Sembolü"
"U+1F6B9","🚹","Men’s Room","Erkekler odası"
"U+1F6BA","🚺","Women’s Room","Kadınlar Odası"
"U+1F6BB","🚻","Restroom","Tuvalet"
"U+1F6BC","🚼","Baby Symbol","Bebek Sembolü"
"U+1F6BE","🚾","Water Closet","Tuvalet"
"U+1F6C2","🛂","Passport Control","Pasaport kontrolü"
"U+1F6C3","🛃","Customs","Gümrük"
"U+1F6C4","🛄","Baggage Claim","Bagaj teslim yeri"
"U+1F6C5","🛅","Left Luggage","Sol Bagaj"
"U+26A0 U+FE0F","⚠️","Warning","Uyarı"
"U+1F6B8","🚸","Children Crossing","Çocuklar geçiyor"
"U+26D4","⛔","No Entry","Girilmez"
"U+1F6AB","🚫","Prohibited","Yasak"
"U+1F6B3","🚳","No Bicycles","Bisiklet giremez"
"U+1F6AD","🚭","No Smoking","Sigara İçmek Yasaktır"
"U+1F6AF","🚯","No Littering","Çöp atmak yasak"
"U+1F6B1","🚱","Non-Potable Water","İçilmez Su"
"U+1F6B7","🚷","No Pedestrians","Yaya giremez"
"U+1F4F5","📵","No Mobile Phones","Cep Telefonu Yok"
"U+1F51E","🔞","No One Under Eighteen","Onsekiz Yaşından Küçük Kimse Yok"
"U+2622 U+FE0F","☢️","Radioactive","Radyoaktif"
"U+2623 U+FE0F","☣️","Biohazard","Biyolojik Tehlike"
"U+2B06 U+FE0F","⬆️","Up Arrow","Yukarı ok"
"U+2197 U+FE0F","↗️","Up-Right Arrow","Yukarı-Sağ Ok"
"U+27A1 U+FE0F","➡️","Right Arrow","Sağ ok"
"U+2198 U+FE0F","↘️","Down-Right Arrow","Aşağı-Sağ Ok"
"U+2B07 U+FE0F","⬇️","Down Arrow","Aşağı ok"
"U+2199 U+FE0F","↙️","Down-Left Arrow","Sol Aşağı Ok"
"U+2B05 U+FE0F","⬅️","Left Arrow","Sol ok"
"U+2196 U+FE0F","↖️","Up-Left Arrow","Yukarı-Sol Ok"
"U+2195 U+FE0F","↕️","Up-Down Arrow","Yukarı-Aşağı Ok"
"U+2194 U+FE0F","↔️","Left-Right Arrow","Sol-Sağ Ok"
"U+21A9 U+FE0F","↩️","Right Arrow Curving Left","Sağ Ok Sola Kıvrımlı"
"U+21AA U+FE0F","↪️","Left Arrow Curving Right","Sağa Kıvrımlı Sol Ok"
"U+2934 U+FE0F","⤴️","Right Arrow Curving Up","Yukarı Kıvrımlı Sağ Ok"
"U+2935 U+FE0F","⤵️","Right Arrow Curving Down","Aşağı Kıvrımlı Sağ Ok"
"U+1F503","🔃","Clockwise Vertical Arrows","Saat Yönünde Dikey Oklar"
"U+1F504","🔄","Counterclockwise Arrows Button","Saat yönünün tersine Oklar Düğmesi"
"U+1F519","🔙","BACK Arrow","GERİ Ok"
"U+1F51A","🔚","END Arrow","SON Oku"
"U+1F51B","🔛","ON! Arrow","AÇIK! Ok"
"U+1F51C","🔜","SOON Arrow","YAKINDA Ok"
"U+1F51D","🔝","TOP Arrow","ÜST Ok"
"U+1F6D0","🛐","Place Of Worship","İbadet yeri"
"U+269B U+FE0F","⚛️","Atom Symbol","Atom Sembolü"
"U+1F549 U+FE0F","🕉️","Om","Hakkında"
"U+2721 U+FE0F","✡️","Star Of David","David'in yıldızı"
"U+2638 U+FE0F","☸️","Wheel Of Dharma","Dharma Çarkı"
"U+262F U+FE0F","☯️","Yin Yang","yin Yang"
"U+271D U+FE0F","✝️","Latin Cross","Latin Haçı"
"U+2626 U+FE0F","☦️","Orthodox Cross","Ortodoks Haçı"
"U+262A U+FE0F","☪️","Star And Crescent","Yıldız ve Hilal"
"U+262E U+FE0F","☮️","Peace Symbol","Barış sembolü"
"U+1F54E","🕎","Menorah","Menora"
"U+1F52F","🔯","Dotted Six-Pointed Star","Noktalı Altı Köşeli Yıldız"
"U+1FAAF","🪯","Khanda","Bebek"
"U+2648","♈","Aries","Koç burcu"
"U+2649","♉","Taurus","Boğa burcu"
"U+264A","♊","Gemini","İkizler burcu"
"U+264B","♋","Cancer","Kanser"
"U+264C","♌","Leo","Aslan"
"U+264D","♍","Virgo","Başak"
"U+264E","♎","Libra","Terazi"
"U+264F","♏","Scorpio","Akrep"
"U+2650","♐","Sagittarius","yay Burcu"
"U+2651","♑","Capricorn","Oğlak"
"U+2652","♒","Aquarius","Kova"
"U+2653","♓","Pisces","balık Burcu"
"U+26CE","⛎","Ophiuchus","Yılancı"
"U+1F500","🔀","Shuffle Tracks Button","Parçaları Karıştır Düğmesi"
"U+1F501","🔁","Repeat Button","Tekrarla Düğmesi"
"U+1F502","🔂","Repeat Single Button","Tek Düğmeyi Tekrarla"
"U+25B6 U+FE0F","▶️","Play Button","Oynatma düğmesi"
"U+23E9","⏩","Fast-Forward Button","Hızlı İleri Sarma Düğmesi"
"U+23ED U+FE0F","⏭️","Next Track Button","Sonraki Parça Düğmesi"
"U+23EF U+FE0F","⏯️","Play Or Pause Button","Oynat veya Duraklat Düğmesi"
"U+25C0 U+FE0F","◀️","Reverse Button","Geri Düğmesi"
"U+23EA","⏪","Fast Reverse Button","Hızlı Geri Alma Düğmesi"
"U+23EE U+FE0F","⏮️","Last Track Button","Son Parça Düğmesi"
"U+1F53C","🔼","Upwards Button","Yukarı Düğmesi"
"U+23EB","⏫","Fast Up Button","Hızlı Yukarı Düğmesi"
"U+1F53D","🔽","Downwards Button","Aşağı Düğmesi"
"U+23EC","⏬","Fast Down Button","Hızlı Aşağı Düğmesi"
"U+23F8 U+FE0F","⏸️","Pause Button","Duraklat Düğmesi"
"U+23F9 U+FE0F","⏹️","Stop Button","Durdurma düğmesi"
"U+23FA U+FE0F","⏺️","Record Button","Kayıt Düğmesi"
"U+23CF U+FE0F","⏏️","Eject Button","Çıkarma Düğmesi"
"U+1F3A6","🎦","Cinema","Sinema"
"U+1F505","🔅","Dim Button","Karartma Düğmesi"
"U+1F506","🔆","Bright Button","Parlak Düğme"
"U+1F4F6","📶","Antenna Bars","Anten Çubukları"
"U+1F6DC","🛜","Wireless","Kablosuz"
"U+1F4F3","📳","Vibration Mode","Titreşim Modu"
"U+1F4F4","📴","Mobile Phone Off","Cep Telefonu Kapalı"
"U+2640 U+FE0F","♀️","Female Sign","Kadın Burcu"
"U+2642 U+FE0F","♂️","Male Sign","Erkek Burcu"
"U+26A7 U+FE0F","⚧️","Transgender Symbol","Transseksüel Sembolü"
"U+2716 U+FE0F","✖️","Multiply","Çarpmak"
"U+2795","➕","Plus","Artı"
"U+2796","➖","Minus","Eksi"
"U+2797","➗","Divide","Bölmek"
"U+1F7F0","🟰","Heavy Equals Sign","Ağır Eşittir İşareti"
"U+267E U+FE0F","♾️","Infinity","Sonsuzluk"
"U+203C U+FE0F","‼️","Double Exclamation Mark","Çift Ünlem İşareti"
"U+2049 U+FE0F","⁉️","Exclamation Question Mark","Ünlem Soru İşareti"
"U+2753","❓","Red Question Mark","Kırmızı Soru İşareti"
"U+2754","❔","White Question Mark","Beyaz Soru İşareti"
"U+2755","❕","White Exclamation Mark","Beyaz Ünlem İşareti"
"U+2757","❗","Red Exclamation Mark","Kırmızı Ünlem İşareti"
"U+3030 U+FE0F","〰️","Wavy Dash","Dalgalı Çizgi"
"U+1F4B1","💱","Currency Exchange","Döviz değişimi"
"U+1F4B2","💲","Heavy Dollar Sign","Ağır Dolar İşareti"
"U+2695 U+FE0F","⚕️","Medical Symbol","Tıbbi Sembol"
"U+267B U+FE0F","♻️","Recycling Symbol","Geri Dönüşüm Sembolü"
"U+269C U+FE0F","⚜️","Fleur-De-Lis","Fleur-De-Lis"
"U+1F531","🔱","Trident Emblem","Üç Dişli Mızrak Amblemi"
"U+1F4DB","📛","Name Badge","Yaka kartı"
"U+1F530","🔰","Japanese Symbol For Beginner","Yeni Başlayanlar İçin Japonca Sembol"
"U+2B55","⭕","Hollow Red Circle","İçi Boş Kırmızı Daire"
"U+2705","✅","Check Mark Button","Onay İşareti Düğmesi"
"U+2611 U+FE0F","☑️","Check Box With Check","Onaylı Onay Kutusu"
"U+2714 U+FE0F","✔️","Check Mark","Onay işareti"
"U+274C","❌","Cross Mark","Çapraz İşaret"
"U+274E","❎","Cross Mark Button","Çapraz İşaret Düğmesi"
"U+27B0","➰","Curly Loop","Kıvırcık Döngü"
"U+27BF","➿","Double Curly Loop","Çift Kıvırcık Döngü"
"U+303D U+FE0F","〽️","Part Alternation Mark","Parça Değiştirme İşareti"
"U+2733 U+FE0F","✳️","Eight-Spoked Asterisk","Sekiz Telli Yıldız İşareti"
"U+2734 U+FE0F","✴️","Eight-Pointed Star","Sekiz Köşeli Yıldız"
"U+2747 U+FE0F","❇️","Sparkle","ışıltı"
"U+A9 U+FE0F","©️","Copyright","Telif hakkı"
"U+AE U+FE0F","®️","Registered","Kayıtlı"
"U+2122 U+FE0F","™️","Trade Mark","Marka"
"U+23 U+FE0F U+20E3","#️⃣","Keycap: #","Tuş başlığı: #"
"U+2A U+FE0F U+20E3","*️⃣","Keycap: *","Tuş başlığı: *"
"U+30 U+FE0F U+20E3","0️⃣","Keycap: 0","Tuş başlığı: 0"
"U+31 U+FE0F U+20E3","1️⃣","Keycap: 1","Klavye tuşları: 1"
"U+32 U+FE0F U+20E3","2️⃣","Keycap: 2","Klavye tuşu: 2"
"U+33 U+FE0F U+20E3","3️⃣","Keycap: 3","Klavye tuşu: 3"
"U+34 U+FE0F U+20E3","4️⃣","Keycap: 4","Klavye tuşu: 4"
"U+35 U+FE0F U+20E3","5️⃣","Keycap: 5","Klavye tuşu: 5"
"U+36 U+FE0F U+20E3","6️⃣","Keycap: 6","Klavye tuşu: 6"
"U+37 U+FE0F U+20E3","7️⃣","Keycap: 7","Klavye tuşu: 7"
"U+38 U+FE0F U+20E3","8️⃣","Keycap: 8","Klavye tuşu: 8"
"U+39 U+FE0F U+20E3","9️⃣","Keycap: 9","Klavye tuşu: 9"
"U+1F51F","🔟","Keycap: 10","Klavye tuşu: 10"
"U+1F520","🔠","Input Latin Uppercase","Latince Büyük Harf Girişi"
"U+1F521","🔡","Input Latin Lowercase","Latince Küçük Harf Girişi"
"U+1F522","🔢","Input Numbers","Numaraları Girin"
"U+1F523","🔣","Input Symbols","Giriş Sembolleri"
"U+1F524","🔤","Input Latin Letters","Latin Harflerini Girin"
"U+1F170 U+FE0F","🅰️","A Button (Blood Type)","A Düğmesi (Kan Grubu)"
"U+1F18E","🆎","Ab Button (Blood Type)","Ab Düğmesi (Kan Grubu)"
"U+1F171 U+FE0F","🅱️","B Button (Blood Type)","B Düğmesi (Kan Grubu)"
"U+1F191","🆑","CL Button","CL Düğmesi"
"U+1F192","🆒","COOL Button","SOĞUTMA Düğmesi"
"U+1F193","🆓","FREE Button","ÜCRETSİZ Düğme"
"U+2139 U+FE0F","ℹ️","Information","Bilgi"
"U+1F194","🆔","ID Button","Kimlik Düğmesi"
"U+24C2 U+FE0F","Ⓜ️","Circled M","Daire içine alınmış M"
"U+1F195","🆕","New Button","Yeni Düğme"
"U+1F196","🆖","NG Button","OF Düğmesi"
"U+1F17E U+FE0F","🅾️","O Button (Blood Type)","O Düğmesi (Kan Grubu)"
"U+1F197","🆗","Ok Button","Tamam Düğmesi"
"U+1F17F U+FE0F","🅿️","P Button","P Düğmesi"
"U+1F198","🆘","Sos Button","Asla Düğme"
"U+1F199","🆙","Up! Button","Yukarı! Düğme"
"U+1F19A","🆚","VS Button","VS Düğmesi"
"U+1F201","🈁","Japanese “Here” Button","Japonca “Burada” Düğmesi"
"U+1F202 U+FE0F","🈂️","Japanese “Service Charge” Button","Japonca “Servis Ücreti” Düğmesi"
"U+1F237 U+FE0F","🈷️","Japanese “Monthly Amount” Button","Japonca “Aylık Tutar” Düğmesi"
"U+1F236","🈶","Japanese “Not Free Of Charge” Button","Japonca “Ücretsiz Değil” Düğmesi"
"U+1F22F","🈯","Japanese “Reserved” Button","Japonca “Ayrılmış” Düğmesi"
"U+1F250","🉐","Japanese “Bargain” Button","Japonca “Pazarlık” Düğmesi"
"U+1F239","🈹","Japanese “Discount” Button","Japonca “İndirim” Düğmesi"
"U+1F21A","🈚","Japanese “Free Of Charge” Button","Japonca “Ücretsiz” Düğmesi"
"U+1F232","🈲","Japanese “Prohibited” Button","Japonca “Yasaklanmış” Düğmesi"
"U+1F251","🉑","Japanese “Acceptable” Button","Japonca ""Kabul Edilebilir"" Düğmesi"
"U+1F238","🈸","Japanese “Application” Button","Japonca “Uygulama” Düğmesi"
"U+1F234","🈴","Japanese “Passing Grade” Button","Japonca “Geçme Notu” Düğmesi"
"U+1F233","🈳","Japanese “Vacancy” Button","Japonca “Boş Yer” Düğmesi"
"U+3297 U+FE0F","㊗️","Japanese “Congratulations” Button","Japonca “Tebrikler” Düğmesi"
"U+3299 U+FE0F","㊙️","Japanese “Secret” Button","Japonca “Gizli” Düğmesi"
"U+1F23A","🈺","Japanese “Open For Business” Button","Japonca ""İşe Aç"" Düğmesi"
"U+1F235","🈵","Japanese “No Vacancy” Button","Japonca “Boş Yer Yok” Düğmesi"
"U+1F534","🔴","Red Circle","Kırmızı daire"
"U+1F7E0","🟠","Orange Circle","Turuncu Çember"
"U+1F7E1","🟡","Yellow Circle","Sarı Daire"
"U+1F7E2","🟢","Green Circle","Yeşil Daire"
"U+1F535","🔵","Blue Circle","Mavi Daire"
"U+1F7E3","🟣","Purple Circle","Mor Daire"
"U+1F7E4","🟤","Brown Circle","Kahverengi Daire"
"U+26AB","⚫","Black Circle","Siyah Daire"
"U+26AA","⚪","White Circle","Beyaz Daire"
"U+1F7E5","🟥","Red Square","kırmızı kare"
"U+1F7E7","🟧","Orange Square","Turuncu Kare"
"U+1F7E8","🟨","Yellow Square","Sarı Kare"
"U+1F7E9","🟩","Green Square","Yeşil Meydan"
"U+1F7E6","🟦","Blue Square","Mavi Kare"
"U+1F7EA","🟪","Purple Square","Mor Kare"
"U+1F7EB","🟫","Brown Square","Kahverengi Kare"
"U+2B1B","⬛","Black Large Square","Siyah Büyük Kare"
"U+2B1C","⬜","White Large Square","Beyaz Büyük Kare"
"U+25FC U+FE0F","◼️","Black Medium Square","Siyah Orta Kare"
"U+25FB U+FE0F","◻️","White Medium Square","Beyaz Orta Kare"
"U+25FE","◾","Black Medium-Small Square","Siyah Orta-Küçük Kare"
"U+25FD","◽","White Medium-Small Square","Beyaz Orta-Küçük Kare"
"U+25AA U+FE0F","▪️","Black Small Square","Siyah Küçük Kare"
"U+25AB U+FE0F","▫️","White Small Square","Beyaz Küçük Kare"
"U+1F536","🔶","Large Orange Diamond","Büyük Turuncu Elmas"
"U+1F537","🔷","Large Blue Diamond","Büyük Mavi Elmas"
"U+1F538","🔸","Small Orange Diamond","Küçük Turuncu Elmas"
"U+1F539","🔹","Small Blue Diamond","Küçük Mavi Elmas"
"U+1F53A","🔺","Red Triangle Pointed Up","Kırmızı Üçgen Yukarıya Döndü"
"U+1F53B","🔻","Red Triangle Pointed Down","Kırmızı Üçgen Aşağı Sivri"
"U+1F4A0","💠","Diamond With A Dot","Noktalı Elmas"
"U+1F518","🔘","Radio Button","Radyo düğmesi"
"U+1F533","🔳","White Square Button","Beyaz Kare Düğme"
"U+1F532","🔲","Black Square Button","Siyah Kare Düğme"
"U+1F3C1","🏁","Chequered Flag","Damalı Bayrak"
"U+1F6A9","🚩","Triangular Flag","Üçgen Bayrak"
"U+1F38C","🎌","Crossed Flags","Çapraz Bayraklar"
"U+1F3F4","🏴","Black Flag","Siyah bayrak"
"U+1F3F3 U+FE0F","🏳️","White Flag","Beyaz Bayrak"
"U+1F3F3 U+FE0F U+200D U+1F308","🏳️‍🌈","Rainbow Flag","Gökkuşağı Bayrağı"
"U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F","🏳️‍⚧️","Transgender Flag","Transseksüel Bayrağı"
"U+1F3F4 U+200D U+2620 U+FE0F","🏴‍☠️","Pirate Flag","Korsan bayrağı"
"U+1F1E6 U+1F1E8","🇦🇨","Flag: Ascension Island","Bayrak: Yükseliş Adası"
"U+1F1E6 U+1F1E9","🇦🇩","Flag: Andorra","Bayrak: Andorra"
"U+1F1E6 U+1F1EA","🇦🇪","Flag: United Arab Emirates","Bayrak: Birleşik Arap Emirlikleri"
"U+1F1E6 U+1F1EB","🇦🇫","Flag: Afghanistan","Bayrak: Afganistan"
"U+1F1E6 U+1F1EC","🇦🇬","Flag: Antigua & Barbuda","Bayrak: Antigua ve Barbuda"
"U+1F1E6 U+1F1EE","🇦🇮","Flag: Anguilla","Bayrak: Anguilla"
"U+1F1E6 U+1F1F1","🇦🇱","Flag: Albania","Bayrak: Arnavutluk"
"U+1F1E6 U+1F1F2","🇦🇲","Flag: Armenia","Bayrak: Ermenistan"
